location,rest_type,cuisines
Sarjapur Road,Casual Dining,"Salad, Italian, Desserts, Pizza"
Koramangala 6th Block,Bakery,"Bakery, Desserts"
Frazer Town,Casual Dining,"North Indian, Chinese, Mughlai, Kebab"
Banaswadi,Quick Bites,"Fast Food, Burger"
HSR,Quick Bites,"Andhra, Hyderabadi, North Indian"
Marathahalli,Quick Bites,"North Indian, Chinese"
Nagawara,Quick Bites,South Indian
Koramangala 5th Block,Casual Dining,"Chinese, Singaporean, Thai, Asian, Nepalese, Momos"
Banashankari,Delivery,"North Indian, Continental, Italian"
Koramangala 5th Block,Cafe,"Cafe, Continental, European, Juices"
BTM,Quick Bites,"North Indian, Chinese"
Whitefield,Casual Dining,"Chinese, Momos"
Kalyan Nagar,Delivery,"Bakery, Desserts"
Marathahalli,Casual Dining,"North Indian, Biryani"
MG Road,Dessert Parlor,Desserts
Sanjay Nagar,Casual Dining,"Continental, Desserts, Italian, Japanese, Mexican"
BTM,Quick Bites,Fast Food
Indiranagar,Casual Dining,"North Indian, Street Food"
Whitefield,Quick Bites,"Andhra, North Indian, Biryani"
Basavanagudi,Bakery,"Bakery, Desserts"
Bellandur,"Bakery, Dessert Parlor","Bakery, Desserts"
BTM,Quick Bites,"Fast Food, North Indian, Chinese, Mughlai, Rolls"
HSR,Casual Dining,"Asian, Beverages"
Koramangala 5th Block,Quick Bites,Fast Food
Kanakapura Road,Quick Bites,"South Indian, North Indian, Chinese"
Whitefield,Sweet Shop,"Mithai, Fast Food"
Brookefield,Quick Bites,"Momos, Fast Food"
Brookefield,Dessert Parlor,"Ice Cream, Desserts"
Sahakara Nagar,Quick Bites,Italian
Ejipura,Quick Bites,"Chinese, Fast Food"
Bannerghatta Road,Lounge,"American, Burger, Italian, Steak"
Bannerghatta Road,Dessert Parlor,Bakery
Shanti Nagar,Casual Dining,"Chinese, North Indian, Biryani, Kebab"
New BEL Road,Casual Dining,"North Indian, Chinese"
Bellandur,Quick Bites,"North Indian, Chinese, Rajasthani"
Koramangala 5th Block,"Pub, Bar","Finger Food, North Indian, Continental, Pizza"
Sarjapur Road,Casual Dining,North Indian
RT Nagar,Casual Dining,"North Indian, Chinese"
Koramangala 5th Block,"Beverage Shop, Quick Bites","Juices, Fast Food"
BTM,Casual Dining,"Andhra, Chinese, North Indian"
Majestic,Bar,"Chinese, North Indian"
Whitefield,Casual Dining,"Continental, Asian"
Koramangala 7th Block,Quick Bites,"South Indian, Biryani"
JP Nagar,Dessert Parlor,Fast Food
Marathahalli,"Takeaway, Delivery","North Indian, Chinese"
BTM,Quick Bites,"North Indian, Fast Food, Beverages"
BTM,Quick Bites,South Indian
Banaswadi,Quick Bites,"Chinese, Beverages"
JP Nagar,Cafe,"Cafe, Sandwich, Burger"
JP Nagar,Bakery,"Bakery, Desserts"
Rajajinagar,Quick Bites,Street Food
Banashankari,Quick Bites,North Indian
BTM,Quick Bites,Continental
Seshadripuram,Dessert Parlor,"Ice Cream, Desserts"
Domlur,Quick Bites,"Biryani, North Indian"
Koramangala 5th Block,Cafe,"Cafe, Continental"
Ulsoor,Casual Dining,Chettinad
Marathahalli,"Pub, Casual Dining","Continental, Finger Food"
HSR,Quick Bites,Chinese
Church Street,Quick Bites,"Biryani, Kebab"
Koramangala 7th Block,Cafe,"Cafe, Desserts"
Jeevan Bhima Nagar,"Quick Bites, Dessert Parlor","North Indian, Street Food, Mithai"
JP Nagar,Quick Bites,Pizza
BTM,"Takeaway, Delivery",Arabian
Kammanahalli,Cafe,"Cafe, Fast Food, Chinese, Beverages"
Shanti Nagar,Casual Dining,"Continental, Italian, Chinese"
Vasanth Nagar,Quick Bites,"South Indian, Chinese"
BTM,"Takeaway, Delivery","Fast Food, Rolls"
Kalyan Nagar,Quick Bites,"Biryani, Fast Food"
Koramangala 5th Block,"Cafe, Bar","Cafe, Continental, Salad, Steak"
Whitefield,"Microbrewery, Pub","American, North Indian, Salad"
Sarjapur Road,Quick Bites,"North Indian, Chinese"
Whitefield,Quick Bites,"North Indian, Chinese"
Banaswadi,Quick Bites,Chinese
Yeshwantpur,Quick Bites,"Fast Food, Beverages"
Hennur,Sweet Shop,"Mithai, Street Food"
JP Nagar,Quick Bites,Bohri
Electronic City,Quick Bites,"North Indian, Chinese, Fast Food, Biryani"
BTM,Quick Bites,"North Indian, Street Food"
Kammanahalli,Casual Dining,"Kerala, South Indian"
Koramangala 1st Block,Quick Bites,"Biryani, Kebab"
BTM,"Takeaway, Delivery","Chinese, North Indian"
Indiranagar,Quick Bites,American
Church Street,Pub,"Finger Food, Continental, Asian, North Indian"
Indiranagar,"Casual Dining, Bar","North Indian, Chinese, Mangalorean"
HSR,Casual Dining,"North Indian, Chinese, Rajasthani"
HSR,"Casual Dining, Bar","Mediterranean, Continental, North Indian, Mughlai, Salad"
Banashankari,Dessert Parlor,"Ice Cream, Desserts"
Malleshwaram,"Casual Dining, Bar","North Indian, Mangalorean, Seafood"
Jayanagar,Cafe,"Cafe, Continental, Sandwich, Beverages"
Whitefield,Food Court,Arabian
Koramangala 5th Block,Casual Dining,"North Indian, South Indian, Chinese"
Kammanahalli,Casual Dining,"North Indian, Chinese, Seafood, Rolls"
Electronic City,Quick Bites,"South Indian, Street Food, Beverages"
Banashankari,Takeaway,"Rolls, Lebanese"
Ejipura,Quick Bites,"Bengali, North Indian"
Domlur,Casual Dining,"Burger, Desserts, Italian, Pizza, Salad"
Jayanagar,Casual Dining,"North Indian, Italian"
Koramangala 7th Block,Quick Bites,"Arabian, North Indian"
Banashankari,Quick Bites,South Indian
Lavelle Road,"Casual Dining, Bar","Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab"
JP Nagar,"Takeaway, Delivery",Pizza
Richmond Road,Cafe,Cafe
Ulsoor,Quick Bites,"Italian, Pizza"
Koramangala 5th Block,Casual Dining,"South Indian, North Indian, Chinese"
Banaswadi,Quick Bites,"Biryani, Andhra"
Brookefield,Casual Dining,"Kerala, Chinese"
HSR,"Takeaway, Delivery","North Indian, Chinese, Fast Food"
BTM,Quick Bites,"North Indian, Chinese"
Indiranagar,Casual Dining,Chinese
Electronic City,"Takeaway, Delivery","Andhra, South Indian"
Koramangala 7th Block,Casual Dining,"Chinese, Naga"
Lavelle Road,"Fine Dining, Lounge","Japanese, Asian"
Electronic City,Quick Bites,Chinese
BTM,Quick Bites,"North Indian, Chinese, Fast Food"
HSR,Quick Bites,"South Indian, North Indian, Street Food"
Koramangala 8th Block,Delivery,"North Indian, Chinese, South Indian, Fast Food"
Indiranagar,"Bar, Casual Dining","Continental, Chinese, Italian"
Jayanagar,Beverage Shop,Beverages
Marathahalli,"Beverage Shop, Quick Bites","Tea, Beverages, Fast Food"
New BEL Road,Quick Bites,"Fast Food, Rolls"
Vasanth Nagar,Delivery,Biryani
Koramangala 5th Block,Dessert Parlor,"Ice Cream, Beverages, Desserts"
Brigade Road,"Microbrewery, Casual Dining","Asian, Continental, European, North Indian"
BTM,Dessert Parlor,"Desserts, Beverages"
Bellandur,"Food Court, Quick Bites",Continental
Uttarahalli,Quick Bites,"Chinese, Street Food, Ice Cream"
Central Bangalore,Food Truck,"Fast Food, Continental"
New BEL Road,Quick Bites,"North Indian, Arabian, Fast Food, Chinese"
Shanti Nagar,Bar,"Continental, North Indian, Chinese"
BTM,Casual Dining,"Chinese, Momos"
Marathahalli,Quick Bites,North Indian
HSR,"Casual Dining, Lounge","North Indian, Continental"
Domlur,Quick Bites,South Indian
Koramangala 5th Block,"Casual Dining, Bar","North Indian, Chinese, Continental, Thai, Salad"
Ulsoor,Fine Dining,North Indian
"Varthur Main Road, Whitefield","Takeaway, Delivery","North Indian, Charcoal Chicken"
Marathahalli,"Casual Dining, Bar","North Indian, Mediterranean, European, BBQ"
Kalyan Nagar,Casual Dining,North Indian
Marathahalli,Quick Bites,Street Food
JP Nagar,Quick Bites,"North Indian, South Indian, Chinese"
Basavanagudi,Dessert Parlor,"Ice Cream, Desserts"
Koramangala 5th Block,Casual Dining,"North Indian, Chinese"
Bellandur,Casual Dining,"North Indian, Mughlai, Biryani"
Bellandur,Casual Dining,"Chinese, Thai, Momos"
Whitefield,Casual Dining,"Asian, Mediterranean, North Indian, BBQ"
Vasanth Nagar,Casual Dining,"Mangalorean, Seafood, North Indian, Chinese"
Church Street,Lounge,"American, North Indian, Chinese, Finger Food, Momos"
Old Airport Road,Quick Bites,Chinese
MG Road,Fine Dining,"Chinese, Asian, Cantonese, Tea"
BTM,Quick Bites,Fast Food
Whitefield,Casual Dining,"Biryani, North Indian, Kebab"
New BEL Road,Casual Dining,"Kerala, Biryani, South Indian, North Indian, Chinese, Seafood, Juices"
Kengeri,Cafe,"Cafe, Continental"
Koramangala 5th Block,Quick Bites,"Chinese, Street Food"
Brigade Road,Quick Bites,"Street Food, Rolls"
Frazer Town,"Takeaway, Delivery","North Indian, Chinese, Rolls"
"Varthur Main Road, Whitefield","Takeaway, Delivery","Arabian, Middle Eastern"
Kammanahalli,Quick Bites,"South Indian, Fast Food"
BTM,Quick Bites,"Kebab, Biryani"
RT Nagar,Quick Bites,"North Indian, Mughlai, Rolls, Fast Food"
Jayanagar,Casual Dining,"Biryani, North Indian, Chinese, Andhra, South Indian"
Indiranagar,"Bar, Casual Dining","Finger Food, Continental, North Indian, Pizza, Burger"
Banashankari,Quick Bites,"Fast Food, Street Food"
Domlur,Delivery,"Chinese, Fast Food, North Indian"
Marathahalli,Casual Dining,"North Indian, Mughlai"
BTM,Beverage Shop,Beverages
BTM,Casual Dining,"Arabian, North Indian, Chinese, Fast Food"
Indiranagar,Delivery,"Salad, Beverages, Juices"
Bellandur,Casual Dining,"North Indian, Biryani, Chinese"
Koramangala 1st Block,Bakery,"Bakery, Desserts"
Koramangala 7th Block,Beverage Shop,"Beverages, Juices"
JP Nagar,Quick Bites,"Cafe, Continental, Desserts"
Marathahalli,Quick Bites,"Beverages, Juices, Ice Cream, Fast Food, Sandwich"
MG Road,"Casual Dining, Bar","Thai, Continental, North Indian"
Koramangala 5th Block,Delivery,Chinese
Malleshwaram,Food Court,"South Indian, Mangalorean, Kerala"
Koramangala 5th Block,Cafe,"Cafe, Continental, European, Juices"
Jeevan Bhima Nagar,Casual Dining,"North Indian, Mughlai, Bengali, Chinese"
Domlur,Quick Bites,"Fast Food, Lebanese"
Whitefield,Casual Dining,"Continental, North Indian"
Koramangala 7th Block,Delivery,"Biryani, North Indian, Chinese"
Lavelle Road,Fine Dining,"North Indian, Continental, Italian"
Richmond Road,Cafe,"BBQ, Continental, Burger, Wraps, Pizza, Cafe"
Vijay Nagar,Quick Bites,"North Indian, Chinese, Biryani, Rolls"
BTM,Quick Bites,Sandwich
HSR,Quick Bites,Kerala
Old Airport Road,Lounge,Continental
Indiranagar,Delivery,"Sandwich, Beverages"
Church Street,Casual Dining,North Indian
Indiranagar,Delivery,"North Indian, Biryani"
Banaswadi,Quick Bites,South Indian
Electronic City,Casual Dining,"Continental, European, Salad, Beverages, Italian, Burger"
Malleshwaram,Lounge,"Continental, North Indian"
Ulsoor,Casual Dining,"Chinese, Thai"
HSR,Quick Bites,"Fast Food, Rolls, Momos"
New BEL Road,Cafe,"Cafe, Beverages"
JP Nagar,Cafe,"Cafe, Continental, Italian"
BTM,Quick Bites,"Fast Food, North Indian"
Indiranagar,Cafe,"Cafe, Continental"
Jayanagar,Quick Bites,"North Indian, BBQ"
Kalyan Nagar,Dessert Parlor,"Desserts, Beverages"
Shanti Nagar,Quick Bites,South Indian
BTM,Quick Bites,"North Indian, South Indian, Mangalorean"
Banashankari,"Takeaway, Delivery","Italian, North Indian, Biryani"
Indiranagar,Cafe,"Cafe, American, Fast Food, Coffee, Continental"
Sadashiv Nagar,"Beverage Shop, Dessert Parlor",Beverages
Koramangala 5th Block,Casual Dining,"Biryani, Seafood, Andhra, North Indian"
Koramangala 7th Block,"Takeaway, Delivery","North Indian, Biryani, Chinese"
Residency Road,Bar,"North Indian, Chinese, Fast Food"
Banaswadi,Casual Dining,"Chinese, North Indian, Hyderabadi, Biryani"
BTM,Quick Bites,"North Indian, South Indian"
Koramangala 5th Block,Quick Bites,"Burger, Fast Food, Beverages"
BTM,"Takeaway, Delivery","Continental, Fast Food, Italian, North Indian"
HSR,"Casual Dining, Cafe","Pizza, Cafe, Italian"
HSR,Delivery,"Chinese, North Indian"
Koramangala 5th Block,Cafe,"Cafe, Italian, Fast Food"
Frazer Town,Delivery,Mughlai
HBR Layout,Bakery,Bakery
Sarjapur Road,Quick Bites,"Fast Food, Beverages, Ice Cream, Juices, Sandwich"
Residency Road,Delivery,"Bakery, Desserts"
Majestic,Quick Bites,South Indian
Whitefield,Quick Bites,"North Indian, Chinese, Continental, Biryani, Thai"
Indiranagar,Casual Dining,Chinese
MG Road,Casual Dining,"North Indian, Chinese"
Domlur,"Takeaway, Delivery",North Indian
Marathahalli,"Food Court, Quick Bites","Mexican, Fast Food"
Bannerghatta Road,Casual Dining,Italian
Brookefield,Cafe,"Cafe, Beverages"
Malleshwaram,Casual Dining,"North Indian, Chinese, South Indian, Beverages"
Brigade Road,Dessert Parlor,Ice Cream
Jayanagar,Quick Bites,"North Indian, Kebab, Fast Food"
Brookefield,Quick Bites,Kerala
Jayanagar,Quick Bites,Maharashtrian
HSR,Quick Bites,Chinese
Koramangala 5th Block,Casual Dining,"Chinese, Momos"
Koramangala 5th Block,"Casual Dining, Pub","European, Continental"
Kalyan Nagar,Quick Bites,"Biryani, Kebab"
Bannerghatta Road,Quick Bites,"South Indian, North Indian, Chinese"
Koramangala 1st Block,Delivery,"North Indian, South Indian, Chinese"
Banashankari,Cafe,Cafe
Bellandur,Dessert Parlor,"Desserts, Beverages"
Indiranagar,Quick Bites,"North Indian, Chinese, Continental, Seafood"
HSR,Casual Dining,North Indian
Marathahalli,Quick Bites,"Fast Food, Chinese"
HSR,Quick Bites,"Street Food, Gujarati"
Vasanth Nagar,Casual Dining,"North Indian, Chinese"
BTM,Quick Bites,"North Indian, Chinese"
Cunningham Road,Bakery,Bakery
Koramangala 4th Block,"Pub, Bar","Continental, Finger Food, Pizza, North Indian, Bar Food"
HSR,Cafe,"Cafe, Continental, Burger"
Electronic City,Food Court,"Tibetan, Momos"
Marathahalli,Quick Bites,"Pizza, Fast Food"
Thippasandra,Casual Dining,"North Indian, South Indian, Chinese, Seafood"
Bannerghatta Road,Quick Bites,"Burger, Fast Food, Beverages"
Indiranagar,Dessert Parlor,"Ice Cream, Ice Cream"
JP Nagar,Dessert Parlor,"Ice Cream, Desserts, Bakery"
Ejipura,Quick Bites,"North Indian, Mughlai, Chinese"
Sadashiv Nagar,Casual Dining,"Chinese, North Indian"
Banashankari,Quick Bites,"Biryani, Fast Food"
Kammanahalli,Cafe,"Cafe, Continental"
Whitefield,Quick Bites,"South Indian, North Indian, Chinese, Street Food"
HSR,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich"
Indiranagar,Quick Bites,South Indian
Old Airport Road,Casual Dining,"South Indian, North Indian, Chinese, Beverages"
Ulsoor,"Pub, Casual Dining","Mexican, Italian, Fast Food, North Indian"
Marathahalli,Dessert Parlor,"Desserts, Bakery"
Koramangala 5th Block,Mess,Andhra
BTM,Quick Bites,"Chinese, Tibetan, Momos"
HSR,Delivery,North Indian
Basavanagudi,Quick Bites,South Indian
Ejipura,Quick Bites,"Fast Food, Maharashtrian, Rolls"
HSR,Quick Bites,Street Food
Whitefield,Delivery,"Andhra, North Indian"
Kalyan Nagar,Quick Bites,"Salad, Fast Food"
Whitefield,Casual Dining,"Andhra, South Indian, North Indian, Biryani"
Whitefield,Delivery,"North Indian, Continental"
Jeevan Bhima Nagar,Quick Bites,Street Food
HSR,Quick Bites,"Juices, Ice Cream"
Jayanagar,Quick Bites,"Biryani, Fast Food"
BTM,Casual Dining,"Chinese, Momos"
Electronic City,Casual Dining,"Arabian, Seafood, North Indian, Chinese, BBQ, Biryani, Beverages"
Jayanagar,Casual Dining,"Healthy Food, Beverages, Fast Food"
Ulsoor,Cafe,"Cafe, Continental, Italian, Burger, Beverages"
Electronic City,Quick Bites,"Chinese, North Indian, Fast Food"
Indiranagar,"Casual Dining, Bar","North Indian, Mughlai, Desserts"
Kaggadasapura,Dessert Parlor,"Ice Cream, Desserts"
JP Nagar,Quick Bites,"Biryani, Fast Food"
Basavanagudi,Quick Bites,Street Food
JP Nagar,Quick Bites,"North Indian, Chinese, Street Food"
Church Street,Cafe,"Cafe, American, Italian, Pizza, Burger"
Brookefield,Beverage Shop,"Beverages, Fast Food"
Residency Road,Lounge,Finger Food
Sarjapur Road,Casual Dining,"North Indian, Kebab, Biryani, Rolls"
Koramangala 7th Block,"Casual Dining, Bar",Modern Indian
HSR,Quick Bites,"Juices, Beverages, Salad"
BTM,Beverage Shop,"Beverages, Ice Cream"
HSR,Quick Bites,Biryani
Jayanagar,Casual Dining,North Indian
Whitefield,Casual Dining,North Indian
Electronic City,"Takeaway, Delivery","Chinese, Thai"
JP Nagar,Quick Bites,"North Indian, Biryani, Fast Food"
St. Marks Road,Quick Bites,South Indian
St. Marks Road,Cafe,"Cafe, American, Burger, Steak"
Indiranagar,Casual Dining,"North Indian, Biryani"
Lavelle Road,Fine Dining,"Asian, Japanese, Thai"
Shanti Nagar,Quick Bites,South Indian
Ulsoor,Quick Bites,"North Indian, Chinese, South Indian"
Banaswadi,Casual Dining,"Chinese, North Indian, South Indian"
New BEL Road,Quick Bites,Burger
BTM,Sweet Shop,Mithai
Malleshwaram,Food Court,South Indian
New BEL Road,Quick Bites,Biryani
Brigade Road,Quick Bites,North Indian
MG Road,"Casual Dining, Cafe","North Indian, Italian, South Indian, Continental, Cafe, Salad"
Indiranagar,Sweet Shop,Mithai
Ulsoor,Quick Bites,"North Indian, Chinese"
Koramangala 5th Block,Sweet Shop,"Mithai, Fast Food"
New BEL Road,Quick Bites,"Rolls, Mughlai"
Bellandur,Quick Bites,Fast Food
Koramangala 5th Block,"Beverage Shop, Quick Bites","Beverages, Fast Food, Burger"
HSR,Cafe,"Cafe, Continental, Italian, Beverages, Mediterranean"
Koramangala 5th Block,Casual Dining,"North Indian, Mughlai, South Indian, Chinese"
Electronic City,Quick Bites,Desserts
Whitefield,Casual Dining,Chinese
Electronic City,Mess,"Andhra, Biryani"
JP Nagar,Casual Dining,"North Indian, Street Food"
Church Street,Casual Dining,"North Indian, Chinese, BBQ"
Whitefield,Quick Bites,"North Indian, Fast Food"
Richmond Road,Fine Dining,Japanese
Lavelle Road,"Casual Dining, Bar","European, Italian, Seafood, Continental"
Koramangala 7th Block,Food Court,Kerala
Marathahalli,Quick Bites,"Fast Food, Biryani, Rolls"
Kammanahalli,Cafe,"Cafe, Burger, Italian, Salad"
Richmond Road,Cafe,Cafe
Koramangala 5th Block,Sweet Shop,"Mithai, Oriya, Bengali"
Bannerghatta Road,Quick Bites,"Burger, Fast Food"
Old Airport Road,Quick Bites,"Chinese, Rolls"
Ulsoor,Pub,"Finger Food, North Indian"
Basavanagudi,Quick Bites,Street Food
Ulsoor,Cafe,"Cafe, Salad, Desserts, Pizza"
South Bangalore,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger"
Basavanagudi,Bakery,Bakery
Old Airport Road,"Club, Casual Dining","European, Spanish, Continental, Italian"
Frazer Town,Quick Bites,Rolls
Frazer Town,Quick Bites,North Indian
Brigade Road,Casual Dining,"Korean, Chinese, Japanese"
Indiranagar,Quick Bites,"Kerala, South Indian"
Marathahalli,Quick Bites,South Indian
HSR,"Takeaway, Delivery",North Indian
Bommanahalli,Quick Bites,"North Indian, Chinese"
MG Road,"Pub, Casual Dining","Continental, Finger Food, Pizza, North Indian"
Kammanahalli,Casual Dining,"Andhra, North Indian, Chinese"
Bellandur,Quick Bites,"North Indian, Biryani, South Indian"
BTM,Delivery,"North Indian, South Indian, Chinese"
Shivajinagar,Cafe,Cafe
BTM,"Casual Dining, Bar","Asian, Continental, Finger Food"
BTM,Quick Bites,Seafood
Marathahalli,Dessert Parlor,"Ice Cream, Desserts"
Koramangala 5th Block,"Cafe, Dessert Parlor","Cafe, Italian, Desserts"
Bellandur,Food Court,Chinese
Bellandur,Casual Dining,"Thai, Asian"
JP Nagar,"Bar, Casual Dining","Continental, Finger Food"
Jayanagar,Casual Dining,Maharashtrian
Old Airport Road,Casual Dining,"South Indian, Chinese, North Indian"
New BEL Road,Quick Bites,"North Indian, Chinese, Biryani"
Infantry Road,Casual Dining,"North Indian, Continental, Chinese"
Shivajinagar,Quick Bites,"South Indian, Street Food, Beverages, Desserts"
Commercial Street,Quick Bites,"Burger, Fast Food, Beverages"
BTM,Casual Dining,"Andhra, North Indian, Biryani"
Central Bangalore,Food Truck,"Fast Food, Continental"
Koramangala 6th Block,Casual Dining,"Seafood, Mangalorean, North Indian, Chinese"
Shanti Nagar,Bakery,"Bakery, Beverages"
Jayanagar,Casual Dining,"Italian, Pizza, North Indian, Salad"
Marathahalli,Quick Bites,"North Indian, Chinese"
Electronic City,Quick Bites,"Fast Food, Burger"
Banashankari,Casual Dining,"North Indian, Chinese"
HSR,Cafe,"Cafe, American, Burger, Beverages"
Bellandur,Casual Dining,"Biryani, North Indian, Chinese"
Race Course Road,Casual Dining,"South Indian, Continental, North Indian"
HSR,Cafe,"Cafe, Continental, Pizza, Salad"
Koramangala 5th Block,Dessert Parlor,"Desserts, Beverages"
Koramangala 5th Block,Casual Dining,"Biryani, Andhra, North Indian, Chinese"
Indiranagar,"Pub, Casual Dining","Continental, North Indian, Chinese"
BTM,Casual Dining,"Kerala, Seafood, Chinese, Biryani, Juices"
Whitefield,Quick Bites,"North Indian, Chinese"
Shanti Nagar,Quick Bites,"Pizza, Fast Food"
HSR,Quick Bites,Andhra
Banashankari,Quick Bites,"South Indian, North Indian, Chinese"
HSR,Quick Bites,"North Indian, Chinese"
"ITPL Main Road, Whitefield",Quick Bites,"North Indian, Chinese, Arabian, Momos"
BTM,Quick Bites,"North Indian, Fast Food, Biryani, Chinese"
Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian"
Brookefield,Casual Dining,"North Indian, Chinese"
Electronic City,Casual Dining,"North Indian, Chinese"
Jayanagar,Cafe,"Cafe, Continental, Beverages"
Electronic City,Casual Dining,"North Indian, Chinese"
Koramangala 1st Block,Quick Bites,South Indian
Nagawara,Quick Bites,"North Indian, Chinese"
Bellandur,Casual Dining,"Andhra, Chettinad"
Jayanagar,Casual Dining,"Chinese, Thai, Momos"
Kalyan Nagar,Cafe,Cafe
Marathahalli,Quick Bites,"Street Food, Mithai"
Church Street,Quick Bites,Chinese
BTM,Quick Bites,"Fast Food, Juices"
Indiranagar,Casual Dining,"North Indian, Chinese, Continental"
Marathahalli,Quick Bites,Kerala
Bellandur,"Cafe, Dessert Parlor","Cafe, Desserts, Ice Cream"
HSR,Delivery,"Bakery, Desserts"
Sarjapur Road,Casual Dining,"Chinese, Nepalese, Tibetan"
Basavanagudi,Quick Bites,"Street Food, Fast Food"
Koramangala 5th Block,Quick Bites,Arabian
BTM,"Takeaway, Delivery","Chinese, North Indian"
Indiranagar,Delivery,"North Indian, Chinese, Italian"
Indiranagar,Casual Dining,"Chinese, Seafood"
Kalyan Nagar,Cafe,"Cafe, Continental, North Indian"
Nagawara,Quick Bites,"Andhra, North Indian, Chinese, Biryani"
"Varthur Main Road, Whitefield","Takeaway, Delivery","Arabian, Middle Eastern"
Indiranagar,"Cafe, Bakery","Cafe, Bakery"
New BEL Road,Quick Bites,"North Indian, Street Food, Fast Food"
Residency Road,Quick Bites,"North Indian, Biryani, Fast Food"
HSR,Quick Bites,"North Indian, Biryani"
Electronic City,"Pub, Casual Dining","Continental, North Indian, Chinese, Salad"
Marathahalli,Casual Dining,"North Indian, Mughlai, Italian"
Old Airport Road,Fine Dining,"North Indian, Italian, Asian, Continental, Mediterranean"
Whitefield,Delivery,"Bengali, North Indian, Chinese"
Indiranagar,Quick Bites,"Biryani, North Indian, Arabian"
Koramangala 5th Block,"Casual Dining, Bar","Asian, Chinese, Thai, Momos"
Kammanahalli,Quick Bites,"Fast Food, Juices"
Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food"
Old Airport Road,Delivery,"Desserts, Bakery"
Electronic City,Quick Bites,"Biryani, North Indian"
Church Street,Casual Dining,"North Indian, Chinese, BBQ"
Old Madras Road,Delivery,"Pizza, Chinese, Rolls"
Marathahalli,Food Court,North Indian
Electronic City,Casual Dining,"North Indian, Chinese"
Whitefield,Quick Bites,Biryani
Electronic City,Casual Dining,"Andhra, Biryani, Chinese, North Indian"
Koramangala 4th Block,Cafe,"Cafe, American, European"
Vasanth Nagar,Delivery,"Bakery, Desserts"
Koramangala 7th Block,Casual Dining,Bengali
Indiranagar,Quick Bites,"Juices, Fast Food, Desserts, Salad"
HSR,Casual Dining,"Continental, American"
Bellandur,Quick Bites,North Indian
Basavanagudi,Quick Bites,"North Indian, Mughlai"
Banashankari,Casual Dining,"Chinese, Thai, Momos"
Thippasandra,Cafe,Cafe
Whitefield,Bakery,Bakery
Bellandur,Quick Bites,"North Indian, Chinese, Biryani, South Indian"
Jayanagar,"Beverage Shop, Quick Bites","Beverages, Fast Food"
HSR,"Bakery, Quick Bites","Bakery, Fast Food"
Electronic City,Quick Bites,"Tamil, South Indian"
Whitefield,Dessert Parlor,Desserts
Marathahalli,Dessert Parlor,"Desserts, Ice Cream, Beverages, Sandwich"
Marathahalli,Quick Bites,North Indian
Hennur,Delivery,"North Indian, Continental"
Infantry Road,"Cafe, Casual Dining","Cafe, Burger, Italian, Fast Food"
Koramangala 3rd Block,Cafe,"Cafe, Continental, Italian"
HSR,Quick Bites,"American, Chinese"
Banashankari,Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos"
Koramangala 5th Block,Casual Dining,"American, Continental, Fast Food, Steak"
Indiranagar,Casual Dining,"Italian, Pizza, Mexican"
Nagawara,Quick Bites,"Juices, Desserts"
Bellandur,Quick Bites,"Beverages, Fast Food"
Whitefield,"Casual Dining, Bar","North Indian, Continental"
New BEL Road,"Cafe, Casual Dining","Cafe, American, Burger, Steak"
Basavanagudi,Quick Bites,South Indian
Sarjapur Road,"Sweet Shop, Quick Bites","Mithai, Street Food"
Wilson Garden,Casual Dining,"Continental, Chinese, North Indian, South Indian"
Brigade Road,"Food Court, Quick Bites","Tibetan, Momos"
HSR,Casual Dining,North Indian
Hennur,Delivery,North Indian
Whitefield,Food Court,"Chinese, Momos"
Brookefield,Quick Bites,South Indian
Whitefield,Casual Dining,"Asian, Continental, North Indian, Italian"
Brookefield,Beverage Shop,"Beverages, Desserts"
City Market,Quick Bites,"South Indian, Street Food, Chinese, Fast Food"
Kalyan Nagar,Delivery,Pizza
Sarjapur Road,Quick Bites,"North Indian, Kebab, Chinese, Fast Food"
JP Nagar,Dessert Parlor,"Mithai, Street Food"
Indiranagar,Quick Bites,"Fast Food, Burger"
Koramangala 4th Block,"Cafe, Casual Dining","Cafe, Italian, Continental"
Kammanahalli,Casual Dining,"North Indian, Mughlai, South Indian, Chinese"
Marathahalli,Casual Dining,North Indian
Marathahalli,Casual Dining,"Biryani, South Indian, Fast Food"
Indiranagar,"Takeaway, Delivery","Chettinad, South Indian, Biryani"
Koramangala 5th Block,"Pub, Microbrewery","Continental, North Indian, Chinese, European, BBQ, Finger Food, Asian"
Rajajinagar,Casual Dining,South Indian
Jayanagar,"Casual Dining, Cafe","Healthy Food, Cafe, Beverages"
Richmond Road,Quick Bites,"Kebab, Rolls"
Basaveshwara Nagar,Quick Bites,Desserts
JP Nagar,Quick Bites,"Biryani, North Indian"
Whitefield,"Cafe, Dessert Parlor","Cafe, Continental, Desserts"
Basavanagudi,Casual Dining,South Indian
HSR,Quick Bites,"Burger, Fast Food"
