location,rest_type,cuisines
Koramangala 6th Block,Sweet Shop,"Mithai, Fast Food"
Jeevan Bhima Nagar,Quick Bites,"Kerala, Seafood, Biryani"
Electronic City,Quick Bites,"North Indian, Chinese, South Indian"
Residency Road,"Takeaway, Delivery","Street Food, South Indian"
Kammanahalli,Quick Bites,"Chinese, Fast Food, Momos"
Jayanagar,Quick Bites,"Biryani, Andhra, Kebab"
Bannerghatta Road,Quick Bites,"North Indian, Fast Food"
BTM,Takeaway,Juices
BTM,Casual Dining,"North Indian, Continental, Chinese, Steak"
Brigade Road,Casual Dining,"Pizza, Italian, Continental, Desserts"
Sarjapur Road,Pub,"Continental, Italian, North Indian, Mexican"
JP Nagar,"Takeaway, Delivery","South Indian, North Indian, Chinese, Street Food"
Banashankari,Quick Bites,"Fast Food, Rolls, Momos"
Banashankari,Cafe,"Cafe, Fast Food"
Electronic City,"Takeaway, Delivery","Fast Food, Sandwich"
JP Nagar,Casual Dining,"North Indian, South Indian"
Marathahalli,Casual Dining,"Biryani, North Indian, Mughlai"
Koramangala 2nd Block,Delivery,"North Indian, Chinese"
JP Nagar,Quick Bites,"Continental, Sandwich, Burger, Italian, Salad, Pizza"
New BEL Road,Casual Dining,"Asian, Chinese"
Whitefield,Quick Bites,"North Indian, Chinese, Rolls"
Frazer Town,Dessert Parlor,"Desserts, Beverages"
Koramangala 4th Block,Cafe,Cafe
Kammanahalli,Casual Dining,"North Indian, Chinese"
Electronic City,"Food Court, Quick Bites","North Indian, Chinese"
Bannerghatta Road,Quick Bites,"North Indian, Chinese"
Whitefield,"Takeaway, Delivery",Fast Food
Frazer Town,Quick Bites,South Indian
Koramangala 6th Block,Pub,"American, North Indian, Chinese"
Koramangala 7th Block,Food Court,"Chinese, Thai"
Indiranagar,Quick Bites,"North Indian, Chinese"
BTM,Beverage Shop,"Beverages, Juices"
Domlur,Quick Bites,South Indian
Nagawara,Quick Bites,"Kerala, North Indian"
Koramangala 5th Block,"Casual Dining, Microbrewery","Continental, Mediterranean, North Indian, Chinese, Finger Food"
Indiranagar,"Dessert Parlor, Cafe","Desserts, Bakery, Cafe"
Old Airport Road,Casual Dining,"North Indian, Chinese"
Jeevan Bhima Nagar,Beverage Shop,"Beverages, Juices, Ice Cream"
RT Nagar,Casual Dining,"North Indian, Chinese, Arabian, Kebab"
HSR,"Takeaway, Delivery","Biryani, Charcoal Chicken"
Indiranagar,Takeaway,Street Food
Whitefield,Delivery,"North Indian, BBQ, Biryani, Kebab"
Jayanagar,Casual Dining,"Biryani, North Indian, Chinese"
Koramangala,Delivery,Continental
JP Nagar,Casual Dining,"North Indian, Chinese, Continental"
Rajajinagar,Quick Bites,North Indian
Brookefield,"Casual Dining, Cafe","Pizza, Cafe, Italian"
Sadashiv Nagar,Casual Dining,North Indian
Marathahalli,Quick Bites,"Italian, Pizza"
Residency Road,Bar,"North Indian, Chinese, Finger Food"
Indiranagar,Beverage Shop,"Beverages, Juices"
Kumaraswamy Layout,Quick Bites,"South Indian, North Indian, Chinese, Juices"
Frazer Town,Cafe,"Cafe, Fast Food"
Richmond Road,Casual Dining,"North Indian, Chinese, South Indian, Continental"
HSR,"Bakery, Quick Bites","Bakery, Fast Food"
Whitefield,"Casual Dining, Quick Bites","North Indian, Kebab"
Koramangala 4th Block,"Cafe, Casual Dining","Cafe, Italian, Continental"
Koramangala 6th Block,Bar,"Continental, Chinese"
Marathahalli,Casual Dining,"Andhra, North Indian, Chinese, Seafood, Biryani"
Church Street,"Beverage Shop, Cafe","Cafe, Tea, North Indian"
Indiranagar,Delivery,"Healthy Food, North Indian, Biryani, Continental, Desserts"
Vasanth Nagar,Takeaway,"Fast Food, Street Food"
Koramangala 7th Block,Casual Dining,"South Indian, North Indian, Chinese, Street Food, Fast Food"
Brigade Road,Bar,"Continental, Chinese"
MG Road,Quick Bites,"Tibetan, Momos"
Electronic City,Dessert Parlor,Mithai
Koramangala 7th Block,"Dessert Parlor, Cafe","Desserts, Cafe, Beverages"
Bellandur,Quick Bites,"Andhra, Biryani, South Indian, Chinese"
HSR,Dessert Parlor,"Ice Cream, Desserts"
JP Nagar,"Bakery, Quick Bites","Bakery, Fast Food, Italian"
Koramangala 3rd Block,Casual Dining,"North Indian, Mughlai"
Bellandur,Casual Dining,"Chinese, South Indian, North Indian, Biryani"
Koramangala 7th Block,Cafe,"Cafe, Beverages, Healthy Food, Juices"
Koramangala 7th Block,Cafe,"Cafe, Tea, North Indian"
Koramangala 4th Block,Quick Bites,"North Indian, South Indian, Chinese"
JP Nagar,Quick Bites,North Indian
Old Airport Road,Quick Bites,"North Indian, Chinese, South Indian"
Sarjapur Road,Dessert Parlor,"Ice Cream, Beverages"
Jayanagar,Casual Dining,"North Indian, Chinese"
Electronic City,Casual Dining,"North Indian, Chinese, Mughlai"
Whitefield,"Bakery, Cafe","Bakery, Cafe"
HSR,"Takeaway, Delivery","North Indian, Chinese, Rolls"
Marathahalli,Quick Bites,"South Indian, Biryani"
Jayanagar,Quick Bites,Biryani
Hosur Road,Casual Dining,"South Indian, North Indian, Chinese, Desserts, Fast Food, Ice Cream"
Jayanagar,Casual Dining,"North Indian, Chinese, South Indian"
Bommanahalli,Delivery,Pizza
Sarjapur Road,"Dessert Parlor, Cafe","Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages"
Kalyan Nagar,Quick Bites,"BBQ, Fast Food"
Kalyan Nagar,Cafe,"Cafe, Continental, Italian, Burger"
Bannerghatta Road,Dessert Parlor,"Bakery, Fast Food"
Rajajinagar,Quick Bites,"North Indian, South Indian, Chinese"
Koramangala 6th Block,Quick Bites,"Italian, Fast Food, Pizza"
Banaswadi,Kiosk,"Fast Food, Rolls"
HSR,Cafe,"Cafe, American, Burger, Beverages"
Koramangala 7th Block,"Beverage Shop, Quick Bites","Juices, Healthy Food"
Whitefield,Quick Bites,"North Indian, Burger, Sandwich, Chinese"
MG Road,Casual Dining,"North Indian, Mexican, Continental, Street Food"
Indiranagar,Quick Bites,South Indian
Bellandur,Casual Dining,"North Indian, Mughlai, Chinese, Arabian, Kerala"
Electronic City,"Pub, Casual Dining","Continental, North Indian"
Brigade Road,Casual Dining,"Seafood, South Indian, Bar Food, Mangalorean, Konkan"
Ejipura,Quick Bites,North Indian
Frazer Town,Bakery,"Bakery, Desserts"
Koramangala 7th Block,Quick Bites,"Chinese, Fast Food, Momos"
BTM,Casual Dining,"North Indian, South Indian, Chinese, Kerala"
Sarjapur Road,Quick Bites,"Chinese, Charcoal Chicken, North Indian"
BTM,Quick Bites,"Fast Food, Italian, Pizza"
BTM,Casual Dining,"North Indian, Chinese"
JP Nagar,Casual Dining,"North Indian, Chinese"
Malleshwaram,Quick Bites,"North Indian, Chinese, Biryani"
Basaveshwara Nagar,"Casual Dining, Cafe","Pizza, Cafe, Italian"
HSR,Quick Bites,"Biryani, Kebab"
Marathahalli,Quick Bites,"Lucknowi, Biryani"
Sahakara Nagar,"Takeaway, Delivery",Andhra
Koramangala 5th Block,Pub,"Finger Food, Asian, European, Italian"
Koramangala 7th Block,"Dessert Parlor, Cafe","Desserts, Cafe, Beverages"
Ulsoor,Casual Dining,"Chinese, Thai"
JP Nagar,Casual Dining,"Biryani, North Indian, Chinese"
Richmond Road,Quick Bites,"Andhra, South Indian"
Whitefield,Dessert Parlor,"Desserts, Bakery"
New BEL Road,Casual Dining,"North Indian, South Indian"
Marathahalli,Quick Bites,"North Indian, Chinese, Beverages"
Jayanagar,Casual Dining,"South Indian, North Indian, Chinese"
"Varthur Main Road, Whitefield",Quick Bites,North Indian
Church Street,Casual Dining,"North Indian, Continental, Chinese"
Koramangala 7th Block,Dessert Parlor,"Bakery, Desserts, Beverages"
Jayanagar,Quick Bites,"South Indian, North Indian"
Jayanagar,Cafe,"Cafe, American, Pizza"
Koramangala 5th Block,Cafe,"Cafe, Continental, Mediterranean, Beverages"
Whitefield,Casual Dining,"North Indian, Chinese"
Bannerghatta Road,"Casual Dining, Bar","Continental, North Indian, Pizza, Italian"
"ITPL Main Road, Whitefield",Bakery,"Bakery, Desserts"
Jeevan Bhima Nagar,Cafe,"Cafe, Rolls, Fast Food"
Frazer Town,Delivery,"Fast Food, Biryani"
St. Marks Road,Casual Dining,"North Indian, Chinese, Fast Food"
Koramangala 3rd Block,Cafe,"Cafe, Continental, Italian"
Bannerghatta Road,Casual Dining,"North Indian, Chinese"
BTM,Cafe,"Cafe, Fast Food"
Ulsoor,Quick Bites,North Indian
Vijay Nagar,Food Court,"Rolls, Fast Food"
Marathahalli,Casual Dining,"BBQ, Continental, North Indian, Pizza, European"
Koramangala 5th Block,Pub,"Finger Food, Asian, European, Italian"
Indiranagar,Casual Dining,"Chinese, Asian, Japanese"
Richmond Road,Casual Dining,"North Indian, Chinese"
New BEL Road,Quick Bites,"Ice Cream, Fast Food, Beverages, Burger, Desserts, Juices"
Jayanagar,Quick Bites,"North Indian, Fast Food, Beverages, Momos"
Ulsoor,Quick Bites,"Beverages, Fast Food"
Jayanagar,Quick Bites,"Juices, Fast Food"
Jayanagar,Cafe,"Cafe, Chinese, Continental, Fast Food"
Koramangala 8th Block,Quick Bites,"Chinese, Nepalese, Tibetan, Momos"
HSR,Dessert Parlor,Ice Cream
Whitefield,"Microbrewery, Pub","Continental, European, BBQ, Chinese, Asian"
Marathahalli,Food Court,"North Indian, Biryani"
Sarjapur Road,Casual Dining,"Asian, Chinese, Continental, North Indian, South Indian"
BTM,"Takeaway, Delivery","Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra"
Brigade Road,"Bar, Casual Dining","Continental, North Indian"
Koramangala 7th Block,Casual Dining,"North Indian, Mughlai"
Malleshwaram,Casual Dining,BBQ
Basavanagudi,Quick Bites,"North Indian, Chinese"
St. Marks Road,Quick Bites,"Burger, Fast Food"
Malleshwaram,Food Court,Pizza
Indiranagar,Cafe,"Cafe, Italian, Burger, American, Steak"
St. Marks Road,"Bar, Casual Dining",Modern Indian
Indiranagar,Cafe,"Fast Food, Cafe"
Koramangala 5th Block,Quick Bites,North Indian
Ulsoor,Quick Bites,"North Indian, Chinese, South Indian"
Domlur,Delivery,Bakery
Bannerghatta Road,Quick Bites,"North Indian, Mughlai, Biryani"
Domlur,Fine Dining,"European, Mediterranean, Salad"
New BEL Road,Quick Bites,"North Indian, Fast Food"
Indiranagar,Quick Bites,North Indian
Electronic City,Food Court,"North Indian, Fast Food, Street Food"
Frazer Town,Quick Bites,North Indian
Malleshwaram,Quick Bites,"Andhra, Biryani"
Mysore Road,Quick Bites,South Indian
HSR,Dessert Parlor,"Ice Cream, Desserts"
Indiranagar,Quick Bites,"Biryani, North Indian"
Bannerghatta Road,Cafe,"Cafe, Beverages"
Majestic,Quick Bites,"South Indian, North Indian, Chinese, Street Food"
Jayanagar,"Casual Dining, Bar","Italian, Fast Food, Salad, BBQ"
Marathahalli,Quick Bites,Street Food
Kalyan Nagar,Kiosk,"Street Food, Momos"
Whitefield,Casual Dining,"European, Mediterranean, North Indian, BBQ"
Marathahalli,"Takeaway, Delivery","North Indian, Chinese"
Marathahalli,"Takeaway, Delivery","Chinese, North Indian, South Indian"
Bannerghatta Road,Food Court,Street Food
Lavelle Road,Casual Dining,"Thai, Chinese, Indonesian, Asian, Momos"
